Location,Trainer,Pokemon,Level,Item,Move 1,Move 2,Move 3,Move 4,EXP
,,Steelix,69,Leftovers,Earthquake,Ancientpower,Hidden Power (Ghost),Explosion,2898
,,Gyarados,69,Leftovers,Earthquake,Hydro Pump,Ice Beam,Hidden Power (Flying),3164
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,CooltrainerF COOLTRAINERF (21) CARA,Slowbro,69,Leftovers,Thunder Wave,Waterfall,Ice Beam,Psychic M,2424
,,Dunsparce,69,Brightpowder,Glare,Rock Slide,Headbutt,Flamethrower,1848
,,Charizard,69,Focus Band,Sky Attack,Flamethrower,Earthquake,Ancientpower,3090
,,Aerodactyl,67,Soft Sand,Ancientpower,Sky Attack,Earthquake,Fire Blast,2900
,,Tyranitar,69,Leftovers,Crunch,Ancientpower,Earthquake,Fire Blast,3223
,,Electrode,69,Pink Bow,Explosion,Thunderbolt,Tri Attack,Hidden Power (Water),2217
,Twins TWINS (9) LEA & PIA,Dragonite,69,Dragon Fang,Outrage,Fire Blast,Extremespeed,Thunder,3223
,,Dragonite,69,Pink Bow,Extremespeed,Wing Attack,Steel Wing,Dynamicpunch,3223
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 27,CooltrainerF COOLTRAINERF (11) MEGAN,Venusaur,69,Leftovers,Giga Drain,Sludge Bomb,Earthquake,Body Slam,3075
,,Lapras,69,Leftovers,Thunderbolt,Psychic M,Waterfall,Ice Beam,3238
,,Dugtrio,69,Focus Band,Earthquake,Sludge Bomb,Ancientpower,Toxic,2262
,,Lanturn,69,Leftovers,Waterfall,Thunderbolt,Confuse Ray,Ice Beam,2306
,,Ditto,69,Metal Powder,Transform,No Move,No Move,No Move,901
,,Magmar,69,Brightpowder,Flamethrower,Thunderbolt,Psychic M,Cross Chop,2469
(immediate),BirdKeeper BIRD_KEEPER (14) JOSE,Farfetch D,75,Stick,Aeroblast,Hidden Power (Ground),Steel Wing,Swords Dance,1510
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,CooltrainerM COOLTRAINERM (11) BLAKE,Flareon,69,Quick Claw,Flamethrower,Iron Tail,Shadow Ball,Double Edge,2927
,,Cloyster,67,Focus Band,Explosion,Waterfall,Ice Beam,Hidden Power (Fire),2914
,,Weezing,67,Brightpowder,Explosion,Sludge Bomb,Flamethrower,Thunderbolt,2483
,,Furret,73,Miracleberry,Body Slam,Surf,Thunderpunch,Fire Punch,1814
,,,,,,,,,
,,,,,,,,,
(immediate),CooltrainerF COOLTRAINERF (10) REENA,Tyranitar,69,Leftovers,Ancientpower,Crunch,Thunderbolt,Fire Blast,3223
,,Jynx,69,Miracleberry,Lovely Kiss,Ice Beam,Psychic M,Hidden Power (Fire),2025
,,Victreebel,69,Miracleberry,Sleep Powder,Sludge Bomb,Giga Drain,Hidden Power (Fire),2824
,,Skarmory,70,Leftovers,Rest,Sleep Talk,Hidden Power (Ground),Drill Peck,2520
,,,,,,,,,
,,,,,,,,,
,CooltrainerM COOLTRAINERM (12) BRIAN,Alakazam,70,Miracleberry,Hypnosis,Thunderpunch,Psychic M,Fire Punch,2790
,,Gengar,70,Miracleberry,Hypnosis,Thunderbolt,Ice Punch,Fire Punch,2850
,,Porygon2,70,Leftovers,Recover,Thunderbolt,Ice Beam,Tri Attack,2700
,,Dodrio,68,Brightpowder,Drill Peck,Double Edge,Steel Wing,Hi Jump Kick,2302
,,,,,,,,,
,,,,,,,,,
(immediate),Psychic PSYCHIC_T (10) GILBERT,Xatu,70,Miracleberry,Psychic M,Giga Drain,Drill Peck,Thunder Wave,2565
,,Slowbro,70,Leftovers,Waterfall,Ice Beam,Flamethrower,Psychic M,2460
,,Jynx,70,Focus Band,Lovely Kiss,Ice Beam,Psychic M,Hidden Power (Fire),2055
,,Donphan,68,Quick Claw,Earthquake,Ancientpower,Swagger,Body Slam,2754
,,,,,,,,,
,,,,,,,,,
Route 26,CooltrainerM COOLTRAINERM (9) JAKE,Politoed,70,Leftovers,Waterfall,Ice Beam,Hypnosis,Earthquake,2775
,,Magneton,70,Miracleberry,Thunder Wave,Thunderbolt,Tri Attack,Hidden Power (Fire),2415
,,Misdreavus,68,Focus Band,Thunderbolt,Psychic M,Pain Split,Hidden Power (Fire),2142
,,Nidoking,68,Focus Band,Lovely Kiss,Earthquake,Sludge Bomb,Flamethrower,2841
,,Exeggutor,68,Quick Claw,Sleep Powder,Giga Drain,Psychic M,Hidden Power (Fire),3089
,,Stantler,70,Miracleberry,Hypnosis,Frustration,Earthquake,Psychic M,2475
(immediate),Fisher FISHER (21) SCOTT,Dragonite,70,Pink Bow,Extremespeed,Outrage,Thunderbolt,Flamethrower,3270
,,Tentacruel,70,Leftovers,Sludge Bomb,Waterfall,Toxic,Ice Beam,3075
,,Piloswine,70,Leftovers,Earthquake,Ancientpower,Ice Beam,Icy Wind,2400
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(talk to her from the back?),CooltrainerF COOLTRAINERF (8) JOYCE,Nidoqueen,70,Focus Band,Earthquake,Sludge Bomb,Ice Beam,Thunderbolt,2910
,,Vaporeon,71,Leftovers,Waterfall,Toxic,Hidden Power (Grass),Ice Beam,2982
,,Forretress,69,Quick Claw,Explosion,Hidden Power (Steel),Leech Life,Earthquake,1744
,,Raichu,71,Magnet,Thunderbolt,Surf,Extremespeed,Hidden Power (Fire),1856
,,Charizard,71,Miracleberry,Flamethrower,Hidden Power (Flying),Earthquake,Ancientpower,3179
,,Magmar,71,Charcoal,Flamethrower,Thunderbolt,Cross Chop,Psychic M,2540
,CooltrainerM COOLTRAINERM (10) GAVEN,Electrode,66,Berserk Gene,Explosion,Thunderbolt,Hidden Power (Grass),Thunder Wave,2121
,,Machamp,66,Berserk Gene,Earthquake,Rock Slide,Hidden Power (Ghost),Cross Chop,2729
,,Ursaring,66,Berserk Gene,Earthquake,Fire Punch,Rock Slide,Return,2673
,,Quagsire,66,Berserk Gene,Sludge Bomb,Earthquake,Ancientpower,Waterfall,1937
,,Scizor,66,Berserk Gene,Quick Attack,Metal Claw,Leech Life,Hidden Power (Ground),2828
,,Aerodactyl,66,Berserk Gene,Rock Slide,Fly,Earthquake,Hidden Power (Ghost),2856
(immediate),CooltrainerF COOLTRAINERF (9) BETH,Espeon,70,Miracleberry,Sing,Hidden Power (Fire),Psywave,Morning Sun,2955
,,Blissey,70,Leftovers,Softboiled,Thunder Wave,Ice Beam,Thunderbolt,3825
,,Starmie,70,Leftovers,Recover,Waterfall,Thunderbolt,Psychic M,3105
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Victoary road,Rival1 RIVAL1 (13) ?,Ampharos,72,Leftovers,Thunderbolt,Thunder Wave,Fire Punch,Hidden Power (Water),2993
,,Feraligatr,72,Leftovers,Ancientpower,Hydro Pump,Ice Beam,Earthquake,3240
,,Tauros,72,Leftovers,Double Edge,Earthquake,Rest,Sleep Talk,3255
,,Marowak,72,Thick Club,Earthquake,Ancientpower,Frustration,No Move,1913
,,Meganium,72,Leftovers,Synthesis,Ancientpower,Giga Drain,Hidden Power (Fire),3209
,,Typhlosion,72,Leftovers,Flamethrower,Earthquake,Toxic,Thunderpunch,3224
,Rival1 RIVAL1 (14) ?,Ampharos,72,Leftovers,Thunderbolt,Thunder Wave,Fire Punch,Hidden Power (Water),2993
,,Feraligatr,72,Leftovers,Ancientpower,Hydro Pump,Ice Beam,Earthquake,3240
,,Tauros,72,Leftovers,Double Edge,Earthquake,Rest,Sleep Talk,3255
,,Marowak,72,Thick Club,Earthquake,Ancientpower,Frustration,No Move,1913
,,Meganium,72,Leftovers,Synthesis,Ancientpower,Giga Drain,Hidden Power (Fire),3209
,,Typhlosion,72,Leftovers,Flamethrower,Earthquake,Toxic,Thunderpunch,3224
,Rival1 RIVAL1 (15) ?,Ampharos,72,Leftovers,Thunderbolt,Thunder Wave,Fire Punch,Hidden Power (Water),2993
,,Feraligatr,72,Leftovers,Ancientpower,Hydro Pump,Ice Beam,Earthquake,3240
,,Tauros,72,Leftovers,Double Edge,Earthquake,Rest,Sleep Talk,3255
,,Marowak,72,Thick Club,Earthquake,Ancientpower,Frustration,No Move,1913
,,Meganium,72,Leftovers,Synthesis,Ancientpower,Giga Drain,Hidden Power (Fire),3209
,,Typhlosion,72,Leftovers,Flamethrower,Earthquake,Toxic,Thunderpunch,3224
Elite 4,Will WILL (1) WILL,Espeon,73,Miracleberry,Psywave,Psychic M,Hidden Power (Fire),Morning Sun,3081
,,Clefable,72,Leftovers,Moonlight,Thunderbolt,Ice Beam,Flamethrower,1990
,,Exeggutor,72,Quick Claw,Hidden Power (Fire),Psychic M,Giga Drain,Ancientpower,3270
,,Electabuzz,72,Magnet,Thunderbolt,Cross Chop,Ice Punch,Fire Punch,2406
,,Slowking,73,Leftovers,Fire Blast,Psychic M,Waterfall,Earthquake,2565
,,Alakazam,72,Miracleberry,Ice Punch,Psychic M,Fire Punch,Thunderpunch,2869
,Koga KOGA (1) KOGA,Electrode,72,Miracleberry,Hidden Power (Grass),Reflect,Thunderbolt,Explosion,2314
,,Venusaur,73,Leftovers,Giga Drain,Ancientpower,Leech Seed,Hidden Power (Fire),3253
,,Tentacruel,72,Miracleberry,Waterfall,Ice Beam,Attract,Giga Drain,3162
,,Muk,72,Leftovers,Explosion,Sludge Bomb,Flamethrower,Giga Drain,2422
,,Scyther,73,Sharp Beak,Wing Attack,Reversal,Hidden Power (Bug),Metal Claw,2925
,,Crobat,73,Leftovers,Sky Attack,Hidden Power (Ground),Hypnosis,Giga Drain,3191
,Bruno BRUNO (1) BRUNO,Blastoise,73,Leftovers,Waterfall,Ice Beam,Earthquake,Hidden Power (Electric),3285
,,Ursaring,72,Miracleberry,Return,Earthquake,Rest,Metal Claw,2916
,,Steelix,72,Quick Claw,Selfdestruct,Earthquake,Rock Slide,Body Slam,3024
,,Heracross,73,Quick Claw,Megahorn,Submission,Earthquake,Rock Slide,3128
,,Snorlax,72,Leftovers,Fire Blast,Earthquake,Double Edge,No Move,2376
,,Machamp,73,Blackbelt I,Cross Chop,Earthquake,Rock Slide,Body Slam,3019
,Karen KAREN (1) KAREN,Gengar,72,Miracleberry,Fire Punch,Thunderbolt,Ice Punch,Hidden Power (Water),2931
,,Miltank,73,Miracleberry,Iron Tail,Body Slam,Earthquake,Milk Drink,3128
,,Misdreavus,73,Leftovers,Hypnosis,Night Shade,Thunderbolt,Psychic M,2299
,,Houndoom,73,Charcoal,Flamethrower,Crunch,Iron Tail,Hidden Power (Grass),3191
,,Hypno,73,Leftovers,Submission,Psychic M,Shadow Ball,Reflect,2581
,,Umbreon,73,Leftovers,Double Team,Confuse Ray,Toxic,Moonlight,3081
,Champion CHAMPION (1) LANCE,Kangaskhan,74,Leftovers,Return,Earthquake,Rest,Sleep Talk,2775
,,Aerodactyl,74,Miracleberry,Sky Attack,Earthquake,Ancientpower,Fire Blast,3203
,,Gyarados,74,Miracleberry,Hidden Power (Flying),Earthquake,Hydro Pump,Ice Beam,3393
,,Kingdra,75,Leftovers,Octazooka,Double Edge,Rest,Sleep Talk,3326
,,Tyranitar,74,Miracleberry,Ancientpower,Earthquake,Thunderbolt,Ice Beam,3456
,,Dragonite,75,Miracleberry,Extremespeed,Thunderbolt,Ice Beam,Flamethrower,3503
S. S. Anne,Firebreather FIREBREATHER (8) LYLE,Weezing,73,Leftovers,Sludge Bomb,Flamethrower,Thunderbolt,Explosion,2706
gauntlet,,Octillery,73,Gold Berry,Waterfall,Ice Beam,Sludge Bomb,Flamethrower,2565
,,Houndoom,73,Charcoal,Flamethrower,Crunch,Iron Tail,Hidden Power (Grass),3191
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Sailor SAILOR (9) STANLY,Poliwrath,73,Quick Claw,Submission,Earthquake,Lovely Kiss,Waterfall,2893
,,Granbull,74,Leftovers,Double Edge,Earthquake,Lovely Kiss,Submission,2822
,,Scizor,72,Focus Band,Metal Claw,Submission,Quick Attack,Wing Attack,3085
,,Steelix,73,Gold Berry,Earthquake,Iron Tail,Rock Slide,Explosion,3066
,,,,,,,,,
,,,,,,,,,
,Juggler JUGGLER (2) FRITZ,Mr  Mime,74,Miracleberry,Psychic M,Thunderbolt,Hypnosis,Hidden Power (Water),2156
,,Primeape,74,Blackbelt I,Cross Chop,Rock Slide,Earthquake,Double Edge,2362
,,Magmar,74,Miracleberry,Flamethrower,Thunderbolt,Cross Chop,Psychic M,2648
,,Stantler,73,Pink Bow,Double Edge,Submission,Hypnosis,Earthquake,2581
,,,,,,,,,
,,,,,,,,,
,Sailor SAILOR (6) JEFF,Raticate,78,Pink Bow,Double Edge,Shadow Ball,Iron Tail,Quick Attack,1938
,,Piloswine,74,Leftovers,Ice Beam,Return,Earthquake,Rock Slide,2537
,,Tentacruel,74,Leftovers,Waterfall,Ice Beam,Sludge Bomb,Giga Drain,3250
,,Jumpluff,74,Leftovers,Sleep Powder,Substitute,Leech Seed,Sky Attack,2790
,,,,,,,,,
,,,,,,,,,
,PokefanM POKEFANM (9) COLIN,Jolteon,74,Focus Band,Thunderbolt,Hidden Power (Grass),Bite,Shadow Ball,3123
,,Vaporeon,74,Leftovers,Waterfall,Lovely Kiss,Hidden Power (Grass),Ice Beam,3108
,,Flareon,74,Charcoal,Fire Blast,Iron Tail,Double Edge,Quick Attack,3139
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Twins TWINS (7) MEG & PEG,Wigglytuff,73,Focus Band,Lovely Kiss,Double Edge,Psychic M,Ice Beam,1705
,,Azumarill,76,Leftovers,Hydro Pump,Blizzard,Lovely Kiss,Double Edge,2491
,,Clefable,74,Pink Bow,Tri Attack,Ice Beam,Lovely Kiss,Softboiled,2045
,,Girafarig,74,Gold Berry,Return,Psychic M,Shadow Ball,Hidden Power (Fighting),2362
,,Starmie,74,Miracleberry,Waterfall,Ice Beam,Thunderbolt,Psychic M,3282
,,,,,,,,,
Vermilion City Gym,Gentleman GENTLEMAN (3) GREGORY,Electrode,74,Miracleberry,Thunderbolt,Hidden Power (Grass),Explosion,Minimize,2378
,,Mr  Mime,75,Miracleberry,Psychic M,Hidden Power (Water),Lovely Kiss,Thunderbolt,2185
,,Lickitung,75,Leftovers,Body Slam,Earthquake,Fire Blast,Thunderbolt,2041
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),Juggler JUGGLER (3) HORTON,Jumpluff,75,Leftovers,Sleep Powder,Substitute,Giga Drain,Hidden Power (Ice),2828
,,Weezing,72,Leftovers,Explosion,Sludge Bomb,Thunderbolt,Fire Blast,2669
,,Lanturn,75,Miracleberry,Waterfall,Ice Beam,Thunderbolt,Thunder Wave,2507
,,Hitmonlee,75,Blackbelt I,Hi Jump Kick,Rock Slide,Earthquake,Mach Punch,2233
,,,,,,,,,
,,,,,,,,,
,Guitarist GUITARIST (2) VINCENT,Blastoise,75,Gold Berry,Waterfall,Earthquake,Ice Beam,Return,3375
,,Ampharos,76,Miracleberry,Thunderbolt,Fire Punch,Hidden Power (Grass),Iron Tail,3159
,,Jynx,75,Focus Band,Lovely Kiss,Ice Beam,Psychic M,Hidden Power (Water),2201
,,Bellossom,75,Leftovers,Sleep Powder,Petal Dance,Sludge Bomb,Hidden Power (Ice),2957
,,,,,,,,,
,,,,,,,,,
,LtSurge LT_SURGE (1) LT.SURGE,Raichu,77,Focus Band,Petal Dance,Thunderbolt,Surf,Submission,2013
,,Lapras,77,Leftovers,Psychic M,Ice Beam,Waterfall,Thunderbolt,3613
,,Electabuzz,77,Blackbelt I,Thunderbolt,Cross Chop,Ice Punch,Fire Punch,2574
,,Dragonite,77,Leftovers,Extremespeed,Thunderbolt,Hidden Power (Flying),Earthquake,3597
,,Raikou,76,Leftovers,Hidden Power (Water),Thunderbolt,Crunch,Iron Tail,3517
,,Zapdos,77,Mint Berry,Hidden Power (Ice),Thunderbolt,Sky Attack,Rest,3564
Route 6,PokefanM POKEFANM (13) REX,Ursaring,74,Quick Claw,Double Edge,Metal Claw,Earthquake,Submission,2997
,,Vaporeon,76,Miracleberry,Waterfall,Ice Beam,Rest,Hidden Power (Grass),3192
,,Pinsir,74,Quick Claw,Megahorn,Submission,Rock Slide,Double Edge,3171
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),PokefanM POKEFANM (14) ALLAN,Scyther,76,Leftovers,Wing Attack,Hidden Power (Bug),Quick Attack,Steel Wing,3045
,,Donphan,74,Quick Claw,Earthquake,Ancientpower,Body Slam,Hidden Power (Fighting),2997
,,Skarmory,76,Leftovers,Sky Attack,Metal Claw,Rock Slide,No Move,2736
,,Yanma,76,Miracleberry,Ancientpower,Hidden Power (Bug),Hypnosis,Giga Drain,2394
,,,,,,,,,
,,,,,,,,,
Saffron City Gym,Medium MEDIUM (7) DORIS,Gengar,74,Focus Band,Shadow Ball,Psychic M,Submission,Destiny Bond,3012
,,Murkrow,78,Sharp Beak,Pursuit,Sky Attack,Faint Attack,Hidden Power (Fire),1788
,,Hypno,76,Leftovers,Submission,Psychic M,Hypnosis,Body Slam,2687
,,Misdreavus,76,Leftovers,Pain Split,Psychic M,Thunderbolt,Night Shade,2394
,,,,,,,,,
,,,,,,,,,
,Psychic PSYCHIC_T (11) JARED,Xatu,77,Miracleberry,Sky Attack,Psychic M,Drill Peck,Night Shade,2821
,,Mr  Mime,77,Magnet,Reflect,Psychic M,Hypnosis,Thunderbolt,2244
,,Wobbuffet,77,Miracleberry,Destiny Bond,Counter,Mirror Coat,Safeguard,2920
,,Alakazam,77,Charcoal,Psychic M,Ice Punch,Fire Punch,Thunderpunch,3069
,,,,,,,,,
,,,,,,,,,
,Medium MEDIUM (6) REBECCA,Electrode,77,Miracleberry,Explosion,Thunderbolt,Hidden Power (Water),Reflect,2475
,,Misdreavus,77,Leftovers,Destiny Bond,Psychic M,Thunderbolt,Pain Split,2425
,,Starmie,77,Twistedspoon,Hydro Pump,Thunderbolt,Psychic M,Ice Beam,3415
,,Porygon2,77,Leftovers,Psychic M,Ice Beam,Thunderbolt,Hyper Beam,2970
,,,,,,,,,
,,,,,,,,,
(immediate),Psychic PSYCHIC_T (2) FRANKLIN,Girafarig,78,Pink Bow,Double Edge,Thunderbolt,Shadow Ball,Psychic M,2490
,,Meganium,77,Leftovers,Reflect,Light Screen,Ancientpower,Earthquake,3432
,,Noctowl,77,Focus Band,Sky Attack,Double Edge,Psychic M,Hidden Power (Fire),2673
,,Magmar,78,Charcoal,Fire Blast,Cross Chop,Thunderpunch,Mach Punch,2791
,,,,,,,,,
,,,,,,,,,
,Sabrina SABRINA (1) SABRINA,Mew,78,Miracleberry,Ice Beam,Psychic M,Submission,Shadow Ball,1069
,,Gengar,79,Mystic Water,Hidden Power (Water),Thunderbolt,Shadow Ball,Ice Punch,3216
,,Jynx,79,Nevermeltice,Lovely Kiss,Psychic M,Ice Beam,Hidden Power (Fire),2319
,,Kangaskhan,79,Leftovers,Earthquake,Submission,Body Slam,Hidden Power (Flying),2962
,,Alakazam,79,Miracleberry,Thunderpunch,Fire Punch,Psychic M,Ice Punch,3148
,,Slowking,79,Miracleberry,Waterfall,Flamethrower,Psychic M,Ice Beam,2776
Route 8,Biker BIKER (3) DWAYNE,Nidoking,79,Soft Sand,Earthquake,Megahorn,Sludge Bomb,Blizzard,3301
,,Rhydon,78,Hard Stone,Ancientpower,Earthquake,Double Edge,Iron Tail,3409
,,Machamp,79,Blackbelt I,Cross Chop,Earthquake,Counter,Mach Punch,3267
,,Houndoom,79,Blackglasses,Flamethrower,Pursuit,Crunch,Hidden Power (Ice),3453
,,,,,,,,,
,,,,,,,,,
(immediate),Biker BIKER (4) HARRIS,Weezing,79,Poison Barb,Explosion,Fire Blast,Sludge Bomb,Thunderbolt,2928
,,Pinsir,79,Silverpowder,Megahorn,Double Edge,Submission,Rock Slide,3385
,,Granbull,77,Quick Claw,Earthquake,Double Edge,Shadow Ball,Attract,2937
,,Flareon,79,Charcoal,Fire Blast,Shadow Ball,Submission,Quick Attack,3351
,,,,,,,,,
,,,,,,,,,
,SuperNerd SUPER_NERD (6) SAM,Exeggutor,80,Miracle Seed,Explosion,Psychic M,Giga Drain,Hidden Power (Fire),3634
,,Cloyster,80,Nevermeltice,Explosion,Ice Beam,Waterfall,Spikes,3480
,,Electrode,80,Pink Bow,Explosion,Thunderbolt,Reflect,Hidden Power (Grass),2571
,,Porygon2,80,Pink Bow,Psychic M,Thunderbolt,Ice Beam,Hyper Beam,3085
,,,,,,,,,
,,,,,,,,,
(immediate),SuperNerd SUPER_NERD (7) TOM,Golem,76,Quick Claw,Explosion,Earthquake,Ancientpower,Double Edge,2882
,,Forretress,76,Quick Claw,Explosion,Earthquake,Spikes,Body Slam,1921
,,Muk,76,Quick Claw,Explosion,Sludge Bomb,Fire Blast,Giga Drain,2556
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Route 12,Fisher FISHER (14) STEPHEN,Qwilfish,77,Quick Claw,Sludge Bomb,Spikes,Waterfall,Explosion,1650
(gauntlet),,Cloyster,77,Quick Claw,Waterfall,Ice Beam,Explosion,Spikes,3349
,,Starmie,77,Mystic Water,Waterfall,Psychic M,Thunderbolt,Recover,3415
,,Seaking,82,Quick Claw,Megahorn,Double Edge,Hydro Pump,Ice Beam,2987
,,,,,,,,,
,,,,,,,,,
(immediate),Fisher FISHER (4) KYLE,Lanturn,80,Leftovers,Thunderbolt,Waterfall,Ice Beam,Thunder Wave,2674
,,Slowbro,80,Leftovers,Fire Blast,Waterfall,Psychic M,Ice Beam,2811
,,Mantine,80,Leftovers,Recover,Toxic,Waterfall,Whirlwind,2880
,,Misdreavus,80,Leftovers,Pain Split,Hypnosis,Psychic M,Thunderbolt,2520
,,,,,,,,,
,,,,,,,,,
,Fisher FISHER (13) MARTIN,Tentacruel,80,Leftovers,Waterfall,Sludge Bomb,Giga Drain,Blizzard,3514
,,Kingdra,80,Miracleberry,Outrage,Waterfall,Ice Beam,Rest,3548
,,Gyarados,80,Pink Bow,Double Edge,Earthquake,Hydro Pump,Fire Blast,3668
,,Octillery,79,Quick Claw,Fire Blast,Octazooka,Ice Beam,Sludge Bomb,2776
,,,,,,,,,
,,,,,,,,,
Route 13,BirdKeeper BIRD_KEEPER (15) PERRY,Gligar,80,Scope Lens,Earthquake,Wing Attack,Steel Wing,Rock Slide,1851
,,Skarmory,80,Scope Lens,Swords Dance,Sky Attack,Metal Claw,Rock Slide,2880
,,Golduck,80,Scope Lens,Waterfall,Ice Beam,Psychic M,Disable,2982
,,Charizard,80,Scope Lens,Fire Blast,Earthquake,Wing Attack,Thunderpunch,3582
,,,,,,,,,
,,,,,,,,,
,PokefanM POKEFANM (12) ALEX,Nidoking,81,Scope Lens,Earthquake,Sludge Bomb,Fire Blast,Blizzard,3384
,,Kingler,81,Scope Lens,Crabhammer,Body Slam,Hidden Power (Flying),Metal Claw,3575
,,Victreebel,81,Miracle Seed,Sleep Powder,Petal Dance,Sludge Bomb,Hidden Power (Ice),3315
,,Tauros,81,Leftovers,Double Edge,Iron Tail,Earthquake,Blizzard,3662
,,,,,,,,,
,,,,,,,,,
Route 14,PokefanM POKEFANM (5) CARTER,Vileplume,81,Quick Claw,Sleep Powder,Giga Drain,Sludge Bomb,Hidden Power (Fire),3193
,,Omastar,80,Focus Band,Waterfall,Ice Beam,Ancientpower,Hidden Power (Grass),3411
,,Typhlosion,82,Charcoal,Fire Blast,Thunderpunch,Earthquake,Hidden Power (Grass),3672
,,Tangela,82,Leftovers,Sleep Powder,Giga Drain,Ancientpower,Hidden Power (Fire),2916
,,,,,,,,,
,,,,,,,,,
(immediate),PokefanM POKEFANM (6) TREVOR,Arcanine,81,Charcoal,Flamethrower,Extremespeed,Morning Sun,Crunch,3697
,,Venusaur,82,Focus Band,Sleep Powder,Petal Dance,Sludge Bomb,Hidden Power (Fire),3654
,,Blastoise,82,Leftovers,Waterfall,Ice Beam,Seismic Toss,Body Slam,3690
,,Raichu,82,Miracle Seed,Thunderbolt,Petal Dance,Surf,Thunder Wave,2143
,,,,,,,,,
,,,,,,,,,
,BirdKeeper BIRD_KEEPER (9) ROY,Noctowl,83,Leftovers,Hypnosis,Sky Attack,Double Edge,Psychic M,2881
,,Golduck,81,Mystic Water,Hypnosis,Waterfall,Ice Beam,Psychic M,3020
,,Dodrio,82,Pink Bow,Drill Peck,Return,Hi Jump Kick,Steel Wing,2776
,,Xatu,82,Miracle Seed,Psychic M,Giga Drain,Hypnosis,Sky Attack,3004
,,Donphan,80,Quick Claw,Earthquake,Rock Slide,Double Edge,Hidden Power (Flying),3240
,,,,,,,,,
Route 15,Schoolboy SCHOOLBOY (9) BILLY,Jumpluff,81,Leftovers,Sleep Powder,Leech Seed,Substitute,Hidden Power (Bug),3054
,,Wigglytuff,81,Leftovers,Double Edge,Psychic M,Ice Punch,Thunderpunch,1891
,,Ninetales,81,Miracleberry,Flamethrower,Psychic M,Hypnosis,Hidden Power (Grass),3089
,,Marowak,82,Thick Club,Earthquake,Rock Slide,Body Slam,Iron Tail,2178
,,Fearow,82,Sharp Beak,Drill Peck,Double Edge,Steel Wing,Quick Attack,2846
,,,,,,,,,
(immediate),Teacher TEACHER (1) COLETTE,Blissey,81,Leftovers,Ice Beam,Softboiled,Sing,Psychic M,4426
,,Meganium,82,Leftovers,Giga Drain,Ancientpower,Sleep Powder,Earthquake,3654
,,Cloyster,82,Mystic Water,Waterfall,Ice Beam,Hidden Power (Grass),Explosion,3567
,,Dugtrio,82,Soft Sand,Earthquake,Ancientpower,Sludge Bomb,Slash,2688
,,Raichu,82,Magnet,Thunderbolt,Surf,Hidden Power (Grass),Extremespeed,2143
,,,,,,,,,
,Schoolboy SCHOOLBOY (2) KIPP,Shuckle,90,Leftovers,Wrap,Toxic,Rest,Sleep Talk,1542
,,Ditto,95,Metal Powder,Transform,No Move,No Move,No Move,1241
,,Smeargle,95,Scope Lens,Aeroblast,Sacred Fire,Extremespeed,Crabhammer,2157
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
(immediate),Schoolboy SCHOOLBOY (6) TOMMY,Sneasel,83,Metal Coat,Ice Beam,Crunch,Metal Claw,Shadow Ball,2347
,,Magcargo,82,Focus Band,Flamethrower,Ancientpower,Earthquake,Hidden Power (Grass),2706
,,Corsola,82,Quick Claw,Waterfall,Ice Beam,Ancientpower,Mirror Coat,1985
,,Magneton,82,Miracle Seed,Thunderbolt,Hidden Power (Grass),Thunder Wave,Explosion,2829
,,Hitmonchan,83,Blackbelt I,Hi Jump Kick,Earthquake,Rock Slide,Mach Punch,2490
,,,,,,,,,
end of gauntlet,Teacher TEACHER (2) HILLARY,Arcanine,83,Charcoal,Fire Blast,Extremespeed,Morning Sun,Iron Tail,3788
,,Girafarig,83,Miracleberry,Return,Psychic M,Earthquake,Shadow Ball,2650
,,Dewgong,83,Leftovers,Waterfall,Ice Beam,Hidden Power (Grass),Return,3130
,,Machamp,83,Gold Berry,Cross Chop,Rock Slide,Earthquake,Hidden Power (Ghost),3432
,,Pidgeot,83,Leftovers,Sky Attack,Double Edge,Steel Wing,Quick Attack,3059
,,,,,,,,,
Fuchsia city gym,Janine JANINE (1) JANINE,Muk,85,Quick Claw,Shadow Ball,Giga Drain,Fire Blast,Explosion,2859
spikes,,Umbreon,85,Leftovers,Double Team,Confuse Ray,Moonlight,Toxic,3588
,,Blissey,85,Leftovers,Double Team,Toxic,Softboiled,Flamethrower,4644
,,Crobat,85,Miracleberry,Super Fang,Sky Attack,Sludge Bomb,Hidden Power (Fire),3715
,,Tauros,85,Leftovers,Double Edge,Rest,Sleep Talk,Earthquake,3843
,,Tentacruel,85,Leftovers,Sludge Bomb,Waterfall,Ice Beam,Giga Drain,3733
